config,particles,timesteps,memory,runtime,looptime,mpi_pair,mpi_bond,mpi_neigh,mpi_comm,mpi_output,mpi_modify,mpi_other
all,512,100000,2.490000,29,23.677200,32.360001,0.020000,0.650000,42.570000,0.020000,22.430000,1.950000
all,512,100000,2.490000,30,24.034599,32.040001,0.020000,0.650000,41.619999,0.040000,23.540001,2.090000
all,512,100000,1.830000,27,23.302099,32.840000,0.020000,0.670000,42.439999,0.020000,22.200001,1.820000
all,512,100000,1.830000,30,23.586800,32.380001,0.020000,0.660000,42.430000,0.350000,22.360001,1.810000
all,512,100000,1.830000,30,23.947001,32.060001,0.020000,0.680000,42.689999,0.020000,22.639999,1.890000
all,512,100000,2.490000,29,23.385201,32.669998,0.020000,0.670000,42.520000,0.010000,22.290001,1.820000
all,512,100000,2.500000,28,23.375601,32.630001,0.020000,0.660000,42.619999,0.010000,22.240000,1.810000
all,512,100000,2.490000,31,23.630199,32.529999,0.020000,0.660000,42.689999,0.020000,22.280001,1.810000
all,512,100000,0.000000,33,24.667400,30.910000,0.020000,0.630000,41.480000,0.010000,25.200001,1.750000
all,512,100000,1.830000,30,23.451300,32.669998,0.020000,0.660000,42.119999,0.030000,22.450001,2.050000
all,512,500000,2.840000,115,108.459999,34.049999,0.020000,0.680000,43.419998,0.830000,19.459999,1.540000
all,512,500000,2.810000,118,110.967003,33.240002,0.020000,0.670000,42.700001,1.910000,20.000000,1.470000
all,512,500000,2.830000,126,119.675003,30.660000,0.020000,0.620000,39.200001,0.030000,28.110001,1.370000
all,512,500000,2.810000,122,114.706001,31.990000,0.020000,0.640000,41.240002,0.030000,24.549999,1.520000
all,512,500000,2.830000,116,108.575996,33.799999,0.020000,0.680000,43.220001,0.060000,20.049999,2.170000
all,512,500000,2.830000,124,108.964996,34.029999,0.020000,0.680000,43.240002,0.400000,20.090000,1.550000
all,512,500000,2.830000,117,110.028999,33.410000,0.020000,0.670000,42.279999,1.330000,20.790001,1.510000
all,512,500000,2.840000,121,112.813004,32.509998,0.020000,0.660000,41.930000,0.010000,23.410000,1.460000
all,512,500000,2.830000,115,106.787003,34.290001,0.020000,0.690000,43.799999,0.050000,19.570000,1.580000
all,512,500000,2.800000,122,109.419998,33.639999,0.020000,0.670000,43.230000,0.010000,20.920000,1.500000
all,512,1000000,2.940000,225,216.365005,34.509998,0.020000,0.700000,42.580002,0.500000,20.129999,1.560000
all,512,1000000,2.940000,233,225.835999,33.029999,0.020000,0.660000,41.070000,0.200000,23.240000,1.780000
all,512,1000000,2.930000,220,212.996002,34.910000,0.020000,0.690000,42.759998,0.010000,19.860001,1.750000
all,512,1000000,2.960000,227,218.259995,34.439999,0.020000,0.690000,42.529999,0.310000,20.510000,1.490000
all,512,1000000,2.920000,227,221.110992,34.139999,0.020000,0.680000,42.430000,0.020000,20.910000,1.810000
all,512,1000000,2.930000,244,230.115997,31.910000,0.020000,0.640000,38.860001,1.130000,25.809999,1.640000
all,512,1000000,2.910000,239,232.776001,32.110001,0.020000,0.650000,39.669998,2.010000,24.000000,1.550000
all,512,1000000,2.920000,235,229.255005,32.840000,0.020000,0.650000,40.689999,1.660000,22.420000,1.720000
all,512,1000000,2.930000,229,221.837006,33.439999,0.020000,0.660000,41.000000,1.430000,21.770000,1.680000
all,512,1000000,2.930000,224,217.397995,33.840000,0.020000,0.670000,41.630001,1.410000,20.900000,1.540000
all,512,5000000,3.750000,1067,1054.709961,35.599998,0.020000,0.710000,36.070000,1.600000,24.160000,1.840000
all,512,5000000,3.760000,1122,1111.630005,33.830002,0.020000,0.670000,39.529999,1.100000,23.160000,1.690000
all,512,5000000,3.740000,1079,1068.699951,35.689999,0.020000,0.700000,35.369999,0.740000,25.860001,1.620000
